elev1,frequency1,elev0,frequency0
210.5,0.0,210.5,0.0
211.5,0.0,211.5,0.0
212.5,0.0,212.5,0.0
213.5,0.0,213.5,0.0
214.5,0.0,214.5,0.0
215.5,0.0,215.5,2.0
216.5,2.0,216.5,3.0
217.5,9.0,217.5,2.0
218.5,7.0,218.5,0.0
219.5,12.0,219.5,1.0
220.5,14.0,220.5,2.0
221.5,13.0,221.5,0.0
222.5,17.0,222.5,1.0
223.5,10.0,223.5,1.0
224.5,16.0,224.5,1.0
225.5,20.0,225.5,0.0
226.5,9.0,226.5,3.0
227.5,17.0,227.5,2.0
228.5,26.0,228.5,2.0
229.5,23.0,229.5,2.0
230.5,13.0,230.5,2.0
231.5,17.0,231.5,2.0
232.5,27.0,232.5,2.0
233.5,18.0,233.5,3.0
234.5,16.0,234.5,1.0
235.5,18.0,235.5,0.0
236.5,30.0,236.5,2.0
237.5,35.0,237.5,4.0
238.5,25.0,238.5,1.0
239.5,23.0,239.5,0.0
240.5,25.0,240.5,2.0
241.5,38.0,241.5,1.0
242.5,26.0,242.5,0.0
243.5,23.0,243.5,0.0
244.5,23.0,244.5,2.0
245.5,35.0,245.5,2.0
246.5,33.0,246.5,1.0
247.5,22.0,247.5,1.0
248.5,36.0,248.5,0.0
249.5,30.0,249.5,1.0
